measurementTime,year,fl,measurementTime_2,date,month,hour,group,gf,gf1,date_corr,sd_all,mean_all,sd_mean_all,cv,cv100,fl_med_day,fl_med_3
6/11/2024 5:00,2024,5.2,2024-06-11T05:00:00Z,2024-06-11,6,5,2,-0.1254180602006689,-0.1254180602006689,2024-06-10,3.2314676317650393,5.083154574132492,0.03615862486720519,63.57209061100669,127.14418122201339,6.15,5.2
6/11/2024 6:00,2024,4.45,2024-06-11T06:00:00Z,2024-06-11,6,6,2,-0.16346153846153846,-0.16346153846153846,2024-06-10,3.2314676317650393,5.083154574132492,-0.19593406039678035,63.57209061100669,127.14418122201339,6.15,5.2
6/11/2024 20:00,2024,5.88,2024-06-11T20:00:00Z,2024-06-11,6,20,2,0,0,2024-06-11,3.2314676317650393,5.083154574132492,0.24658932617321866,63.57209061100669,127.14418122201339,5.11,NA
6/11/2024 21:00,2024,5.88,2024-06-11T21:00:00Z,2024-06-11,6,21,2,0.07312925170068023,0.07312925170068023,2024-06-11,3.2314676317650393,5.083154574132492,0.24658932617321866,63.57209061100669,127.14418122201339,5.11,NA
6/11/2024 22:00,2024,6.31,2024-06-11T22:00:00Z,2024-06-11,6,22,2,0.16156462585034018,0.16156462585034018,2024-06-11,3.2314676317650393,5.083154574132492,0.37965579905790364,63.57209061100669,127.14418122201339,5.11,5.88
6/11/2024 23:00,2024,7.26,2024-06-11T23:00:00Z,2024-06-11,6,23,2,-0.340729001584786,-0.340729001584786,2024-06-11,3.2314676317650393,5.083154574132492,0.6736398670589521,63.57209061100669,127.14418122201339,5.11,6.31
6/12/2024 0:00,2024,5.11,2024-06-12T00:00:00Z,2024-06-12,6,0,2,0.30991735537190085,0.30991735537190085,2024-06-11,3.2314676317650393,5.083154574132492,0.00830750263552697,63.57209061100669,127.14418122201339,5.11,6.31
6/12/2024 1:00,2024,7.36,2024-06-12T01:00:00Z,2024-06-12,6,1,2,-0.6986301369863014,-0.6986301369863014,2024-06-11,3.2314676317650393,5.083154574132492,0.7045855584274836,63.57209061100669,127.14418122201339,5.11,7.26
6/12/2024 2:00,2024,3.79,2024-06-12T02:00:00Z,2024-06-12,6,2,2,-0.013586956521739142,-0.013586956521739142,2024-06-11,3.2314676317650393,5.083154574132492,-0.4001756234290877,63.57209061100669,127.14418122201339,5.11,5.11
6/12/2024 3:00,2024,3.69,2024-06-12T03:00:00Z,2024-06-12,6,3,2,0.007915567282321965,0.007915567282321965,2024-06-11,3.2314676317650393,5.083154574132492,-0.4311213147976191,63.57209061100669,127.14418122201339,5.11,3.79
6/12/2024 4:00,2024,3.72,2024-06-12T04:00:00Z,2024-06-12,6,4,2,-0.11924119241192423,-0.11924119241192423,2024-06-11,3.2314676317650393,5.083154574132492,-0.4218376073870596,63.57209061100669,127.14418122201339,5.11,3.72
6/12/2024 5:00,2024,3.28,2024-06-12T05:00:00Z,2024-06-12,6,5,2,0.12634408602150543,0.12634408602150543,2024-06-11,3.2314676317650393,5.083154574132492,-0.5579986494085979,63.57209061100669,127.14418122201339,5.11,3.69
6/12/2024 6:00,2024,3.75,2024-06-12T06:00:00Z,2024-06-12,6,6,2,0.17682926829268297,0.17682926829268297,2024-06-11,3.2314676317650393,5.083154574132492,-0.41255389997650027,63.57209061100669,127.14418122201339,5.11,3.72
6/12/2024 20:00,2024,5.37,2024-06-12T20:00:00Z,2024-06-12,6,20,2,-0.003134796238244447,-0.003134796238244447,2024-06-12,3.2314676317650393,5.083154574132492,0.08876630019370856,63.57209061100669,127.14418122201339,5.36,NA
6/12/2024 21:00,2024,5.36,2024-06-12T21:00:00Z,2024-06-12,6,21,2,0.1731843575418994,0.1731843575418994,2024-06-12,3.2314676317650393,5.083154574132492,0.08567173105685548,63.57209061100669,127.14418122201339,5.36,NA
6/12/2024 22:00,2024,6.29,2024-06-12T22:00:00Z,2024-06-12,6,22,2,1.0597014925373134,1.0597014925373134,2024-06-12,3.2314676317650393,5.083154574132492,0.3734666607841975,63.57209061100669,127.14418122201339,5.36,5.37
6/12/2024 23:00,2024,11.97,2024-06-12T23:00:00Z,2024-06-12,6,23,2,-0.7503974562798094,-0.7503974562798094,2024-06-12,3.2314676317650393,5.083154574132492,2.1311819305167816,63.57209061100669,127.14418122201339,5.36,6.29
6/13/2024 0:00,2024,7.25,2024-06-13T00:00:00Z,2024-06-13,6,0,2,0.19715956558061815,0.19715956558061815,2024-06-12,3.2314676317650393,5.083154574132492,0.6705452979220989,63.57209061100669,127.14418122201339,5.36,7.25
6/13/2024 1:00,2024,9.61,2024-06-13T01:00:00Z,2024-06-13,6,1,2,-0.9627586206896551,-0.9627586206896551,2024-06-12,3.2314676317650393,5.083154574132492,1.40086361421944,63.57209061100669,127.14418122201339,5.36,9.61
6/13/2024 2:00,2024,2.63,2024-06-13T02:00:00Z,2024-06-13,6,2,2,0.06763787721123829,0.06763787721123829,2024-06-12,3.2314676317650393,5.083154574132492,-0.759145643304052,63.57209061100669,127.14418122201339,5.36,7.25
6/13/2024 3:00,2024,3.28,2024-06-13T03:00:00Z,2024-06-13,6,3,2,0.003802281368821381,0.003802281368821381,2024-06-12,3.2314676317650393,5.083154574132492,-0.5579986494085979,63.57209061100669,127.14418122201339,5.36,3.28
6/13/2024 4:00,2024,3.29,2024-06-13T04:00:00Z,2024-06-13,6,4,2,-0.05792682926829267,-0.05792682926829267,2024-06-12,3.2314676317650393,5.083154574132492,-0.5549040802717448,63.57209061100669,127.14418122201339,5.36,3.28
6/13/2024 5:00,2024,3.1,2024-06-13T05:00:00Z,2024-06-13,6,5,2,0.07902735562310023,0.07902735562310023,2024-06-12,3.2314676317650393,5.083154574132492,-0.6137008938719544,63.57209061100669,127.14418122201339,5.36,3.28
6/13/2024 6:00,2024,3.36,2024-06-13T06:00:00Z,2024-06-13,6,6,2,-0.27096774193548384,-0.27096774193548384,2024-06-12,3.2314676317650393,5.083154574132492,-0.5332420963137727,63.57209061100669,127.14418122201339,5.36,3.29
6/13/2024 20:00,2024,2.17,2024-06-13T20:00:00Z,2024-06-13,6,20,2,0.14935064935064934,0.14935064935064934,2024-06-13,3.2314676317650393,5.083154574132492,-0.9014958235992965,63.57209061100669,127.14418122201339,2.49,NA
6/13/2024 21:00,2024,2.4,2024-06-13T21:00:00Z,2024-06-13,6,21,2,0.041474654377880324,0.041474654377880324,2024-06-13,3.2314676317650393,5.083154574132492,-0.8303207334516742,63.57209061100669,127.14418122201339,2.49,NA
6/13/2024 22:00,2024,2.49,2024-06-13T22:00:00Z,2024-06-13,6,22,2,-0.06666666666666674,-0.06666666666666674,2024-06-13,3.2314676317650393,5.083154574132492,-0.8024696112199959,63.57209061100669,127.14418122201339,2.49,2.4
6/13/2024 23:00,2024,2.33,2024-06-13T23:00:00Z,2024-06-13,6,23,2,-0.06425702811244985,-0.06425702811244985,2024-06-13,3.2314676317650393,5.083154574132492,-0.8519827174096462,63.57209061100669,127.14418122201339,2.49,2.4
6/14/2024 0:00,2024,2.17,2024-06-14T00:00:00Z,2024-06-14,6,0,2,2.9871244635193137,2.9871244635193137,2024-06-13,3.2314676317650393,5.083154574132492,-0.9014958235992965,63.57209061100669,127.14418122201339,2.49,2.33
6/14/2024 1:00,2024,9.13,2024-06-14T01:00:00Z,2024-06-14,6,1,2,0.5898617511520735,0.5898617511520735,2024-06-13,3.2314676317650393,5.083154574132492,1.2523242956504896,63.57209061100669,127.14418122201339,2.49,2.33
6/14/2024 2:00,2024,10.41,2024-06-14T02:00:00Z,2024-06-14,6,2,2,-0.6889375684556407,-0.6889375684556407,2024-06-13,3.2314676317650393,5.083154574132492,1.6484291451676913,63.57209061100669,127.14418122201339,2.49,9.13
6/14/2024 3:00,2024,4.12,2024-06-14T03:00:00Z,2024-06-14,6,3,2,-0.09990393852065323,-0.09990393852065323,2024-06-13,3.2314676317650393,5.083154574132492,-0.298054841912934,63.57209061100669,127.14418122201339,2.49,9.13
6/14/2024 4:00,2024,3.08,2024-06-14T04:00:00Z,2024-06-14,6,4,2,-0.06796116504854374,-0.06796116504854374,2024-06-13,3.2314676317650393,5.083154574132492,-0.6198900321456606,63.57209061100669,127.14418122201339,2.49,4.12
