measurementTime,year,fl,measurementTime_2,date,month,hour,gf,gf1,gf2,gf3,gf4,gf5,gf6,date_corr,sd_all,mean_all,sd_mean_all,cv,cv100,fl_med_day,fl_med_3
6/2/2022 6:00,2022,1.286,2022-06-02T06:00:00Z,2022-06-02,6,6,0.14131501472031396,0.14131501472031396,0.14131501472031396,0.14131501472031396,0.14131501472031396,0.14131501472031396,0.14131501472031396,2022-06-01,1.809820552307698,3.34219452887538,-1.1361317155192714,54.15066468069072,108.30132936138143,1.344,1.019
6/2/2022 20:00,2022,2.422,2022-06-02T20:00:00Z,2022-06-02,6,20,-0.2566995768688295,-0.2566995768688295,-0.2566995768688295,-0.2566995768688295,-0.2566995768688295,-0.2566995768688295,-0.2566995768688295,2022-06-02,1.809820552307698,3.34219452887538,-0.5084451757949383,54.15066468069072,108.30132936138143,1.577,NA
6/2/2022 21:00,2022,1.876,2022-06-02T21:00:00Z,2022-06-02,6,21,-0.04830718414533443,-0.04830718414533443,-0.04830718414533443,-0.04830718414533443,-0.04830718414533443,-0.04830718414533443,-0.04830718414533443,2022-06-02,1.809820552307698,3.34219452887538,-0.8101325443596267,54.15066468069072,108.30132936138143,1.577,NA
6/2/2022 22:00,2022,1.759,2022-06-02T22:00:00Z,2022-06-02,6,22,-0.23507462686567157,-0.23507462686567157,-0.23507462686567157,-0.23507462686567157,-0.23507462686567157,-0.23507462686567157,-0.23507462686567157,2022-06-02,1.809820552307698,3.34219452887538,-0.8747798376234884,54.15066468069072,108.30132936138143,1.577,1.876
6/2/2022 23:00,2022,1.318,2022-06-02T23:00:00Z,2022-06-02,6,23,0.3428084138715179,0.3428084138715179,0.3428084138715179,0.3428084138715179,0.3428084138715179,0.3428084138715179,0.3428084138715179,2022-06-02,1.809820552307698,3.34219452887538,-1.118450404541121,54.15066468069072,108.30132936138143,1.577,1.759
6/3/2022 0:00,2022,1.921,2022-06-03T00:00:00Z,2022-06-03,6,0,-0.32321699544764787,-0.32321699544764787,-0.32321699544764787,-0.32321699544764787,-0.32321699544764787,-0.32321699544764787,-0.32321699544764787,2022-06-02,1.809820552307698,3.34219452887538,-0.7852682007966029,54.15066468069072,108.30132936138143,1.577,1.759
6/3/2022 1:00,2022,1.495,2022-06-03T01:00:00Z,2022-06-03,6,1,-0.04216553878188453,-0.04216553878188453,-0.04216553878188453,-0.04216553878188453,-0.04216553878188453,-0.04216553878188453,-0.04216553878188453,2022-06-02,1.809820552307698,3.34219452887538,-1.0206506531932276,54.15066468069072,108.30132936138143,1.577,1.495
6/3/2022 2:00,2022,1.414,2022-06-03T02:00:00Z,2022-06-03,6,2,0.8836120401337791,0.8836120401337791,0.8836120401337791,0.8836120401337791,0.8836120401337791,0.8836120401337791,0.8836120401337791,2022-06-02,1.809820552307698,3.34219452887538,-1.0654064716066705,54.15066468069072,108.30132936138143,1.577,1.495
6/3/2022 3:00,2022,2.735,2022-06-03T03:00:00Z,2022-06-03,6,3,-0.9016973125884017,-0.9016973125884017,-0.9016973125884017,-0.9016973125884017,-0.9016973125884017,-0.9016973125884017,-0.9016973125884017,2022-06-02,1.809820552307698,3.34219452887538,-0.3354998527899066,54.15066468069072,108.30132936138143,1.577,1.495
6/3/2022 4:00,2022,1.46,2022-06-03T04:00:00Z,2022-06-03,6,4,0.04277879341864717,0.04277879341864717,0.04277879341864717,0.04277879341864717,0.04277879341864717,0.04277879341864717,0.04277879341864717,2022-06-02,1.809820552307698,3.34219452887538,-1.0399895870755795,54.15066468069072,108.30132936138143,1.577,1.46
